,group,test_acc,test_f1,test_auroc,test_auprc,_runtime
56,best_code15_xlstm_ft,0.9673128128051758,0.8347713947296143,0.9815098643302916,0.8940005898475647,754.146158325
57,best_code15_xlstm_ft,0.967566192150116,0.819023847579956,0.9774921536445618,0.875212550163269,745.280241478
58,best_code15_xlstm_ft,0.9647789001464844,0.8097349405288696,0.9746214747428894,0.8700587153434753,753.102052345
59,best_code15_xlstm_ft,0.9668060541152954,0.8089203834533691,0.9758475422859192,0.8771882653236389,754.710539745
55,best_code15_xlstm_ft,0.967566192150116,0.8121448755264282,0.9753937125205994,0.8740724325180054,761.744920826
60,best_code15_xlstm_lp,0.9579374194145204,0.7648087739944458,0.9649784564971924,0.8468276858329773,384.271645876
61,best_code15_xlstm_lp,0.9566704630851746,0.7499727010726929,0.9630196690559388,0.838689386844635,400.021204565
62,best_code15_xlstm_lp,0.9579374194145204,0.7556988000869751,0.9630106091499328,0.8421095609664917,387.692102704
63,best_code15_xlstm_lp,0.9561637043952942,0.7448055744171143,0.9638907313346864,0.8401000499725342,376.116264887
64,best_code15_xlstm_lp,0.9589509963989258,0.7694230675697327,0.9643429517745972,0.8444240093231201,403.588782131
84,best_dinoecg_xlstm_ft,0.9699733853340148,0.8459620475769043,0.9826204776763916,0.8973763585090637,571.367533369
83,best_dinoecg_xlstm_ft,0.9694666266441344,0.8440583944320679,0.9821768999099731,0.8981068134307861,726.162353316
82,best_dinoecg_xlstm_ft,0.969339907169342,0.8422487378120422,0.9824232459068298,0.8952022194862366,635.459795521
80,best_dinoecg_xlstm_ft,0.9687064290046692,0.8425174355506897,0.9805198311805724,0.9009528756141664,656.739377318
79,best_dinoecg_xlstm_ft,0.9701001048088074,0.8471459746360779,0.9794519543647766,0.8946289420127869,663.58442173
75,best_dinoecg_xlstm_lp,0.9575573205947876,0.7737038135528564,0.9662788510322572,0.8546465635299683,324.96887312
81,best_dinoecg_xlstm_lp,0.9590776562690736,0.7708314657211304,0.965864598751068,0.8579985499382019,325.244923056
78,best_dinoecg_xlstm_lp,0.95743066072464,0.7703284621238708,0.9677441716194152,0.8623657822608948,329.452159721
77,best_dinoecg_xlstm_lp,0.95768404006958,0.769034743309021,0.9653803706169128,0.8568269610404968,328.898411996
76,best_dinoecg_xlstm_lp,0.9590776562690736,0.7756819725036621,0.9659918546676636,0.8530862331390381,329.702672999
71,best_ecgcpc_ft,0.9604713320732116,0.8021726012229919,0.9648840427398682,0.8400158882141113,697.594438759
74,best_ecgcpc_ft,0.9605979919433594,0.8067114353179932,0.9651659727096558,0.8454911112785339,673.762836628
73,best_ecgcpc_ft,0.9603446125984192,0.8033361434936523,0.9655671715736388,0.8324467539787292,671.545264233
70,best_ecgcpc_ft,0.9585708975791932,0.7954912781715393,0.9684821367263794,0.8431614637374878,691.058135251
72,best_ecgcpc_ft,0.9586975574493408,0.7833435535430908,0.9682582020759584,0.8364729881286621,684.727425943
65,best_ecgcpc_lp,0.9536297917366028,0.7328868508338928,0.9504319429397584,0.7923860549926758,347.706615311
66,best_ecgcpc_lp,0.9545166492462158,0.7484591007232666,0.9503600001335144,0.7983527183532715,333.475581515
67,best_ecgcpc_lp,0.9537565112113952,0.7443623542785645,0.951766550540924,0.7970538139343262,335.273247819
68,best_ecgcpc_lp,0.9535031318664552,0.7404177784919739,0.9525907635688782,0.7960895299911499,338.600546734
69,best_ecgcpc_lp,0.9545166492462158,0.7492942810058594,0.9510165452957152,0.7965520024299622,333.200406549
0,best_ecgfm_ft,0.963385283946991,0.7884455919265747,0.9701847434043884,0.8547466993331909,390.215912251
11,best_ecgfm_ft,0.9632585644721984,0.7975146770477295,0.970103919506073,0.8546682000160217,402.375000673
13,best_ecgfm_ft,0.9632585644721984,0.79008948802948,0.9679794311523438,0.8531848788261414,408.648162936
12,best_ecgfm_ft,0.9640187621116638,0.7919802069664001,0.9687798619270324,0.8570125102996826,415.193166594
10,best_ecgfm_ft,0.9640187621116638,0.7999069690704346,0.9697235822677612,0.8525446653366089,414.412915754
17,best_ecgfm_lp,0.9579374194145204,0.750439465045929,0.9624252319335938,0.8318977952003479,256.341269274
16,best_ecgfm_lp,0.9579374194145204,0.7547459006309509,0.9613598585128784,0.8278086185455322,254.563673893
15,best_ecgfm_lp,0.9575573205947876,0.7431074380874634,0.9617345929145812,0.8292940855026245,252.61279644
14,best_ecgfm_lp,0.9586975574493408,0.7590311765670776,0.9611898064613342,0.829525887966156,252.325324624
1,best_ecgfm_lp,0.95768404006958,0.7434921264648438,0.9619260430336,0.8292419910430908,245.11462209
22,best_jepa_ft,0.9433675408363342,0.7571014165878296,0.966159164905548,0.8398981094360352,1738.910985741
3,best_jepa_ft,0.9440010190010072,0.7549649477005005,0.9644845128059388,0.8417132496833801,1729.809574802
25,best_jepa_ft,0.9438742995262146,0.7536695003509521,0.9639765620231628,0.8451039791107178,1743.626941078
23,best_jepa_ft,0.9390599131584167,0.737368643283844,0.9654366374015808,0.8441429734230042,1667.296743046
24,best_jepa_ft,0.9379196763038636,0.7397055625915527,0.9660426378250122,0.8388959169387817,1649.520975421
19,best_jepa_lp,0.8878753185272217,0.6119431257247925,0.9609463810920716,0.8299766778945923,748.682048808
2,best_jepa_lp,0.8890155553817749,0.6144022941589355,0.9610960483551024,0.8304190039634705,743.395093001
18,best_jepa_lp,0.891929566860199,0.6182342767715454,0.9611089825630188,0.8298096656799316,751.616624972
21,best_jepa_lp,0.888635516166687,0.6121218204498291,0.9614683985710144,0.8319738507270813,742.871431173
20,best_jepa_lp,0.887495219707489,0.6091576814651489,0.9605719447135924,0.8292118310928345,747.765330919
31,best_stmem_ft,0.9643988609313964,0.8069565296173096,0.9628098607063292,0.8455511927604675,1298.159561018
33,best_stmem_ft,0.9631319046020508,0.7748740911483765,0.9572332501411438,0.8383005261421204,1325.61144519
32,best_stmem_ft,0.9619916677474976,0.7865885496139526,0.9563677310943604,0.8219926953315735,1330.467429028
5,best_stmem_ft,0.964272141456604,0.7842352390289307,0.9543635249137878,0.822693943977356,1314.98626513
30,best_stmem_ft,0.9635119438171388,0.7909812927246094,0.9603091478347778,0.8441761136054993,1301.389164196
4,best_stmem_lp,0.9346256256103516,0.4541326761245727,0.9218112230300904,0.7208126187324524,602.256341258
26,best_stmem_lp,0.9356392025947572,0.46036553382873535,0.9233819246292114,0.7246819138526917,609.044889036
28,best_stmem_lp,0.935132384300232,0.4594804644584656,0.923126459121704,0.727752149105072,602.413590787
27,best_stmem_lp,0.9352591037750244,0.4470922350883484,0.9220842719078064,0.7185441255569458,606.220687842
29,best_stmem_lp,0.9346256256103516,0.45525091886520386,0.9200814366340636,0.7193953394889832,604.846967356
40,best_trans_ft,0.9619916677474976,0.8021133542060852,0.9687995910644532,0.8588008284568787,217.816180003
38,best_trans_ft,0.9621183276176452,0.799948513507843,0.9642813801765442,0.8499672412872314,227.384404253
41,best_trans_ft,0.9603446125984192,0.7852271795272827,0.960536539554596,0.8448489308357239,214.589536835
39,best_trans_ft,0.9612314701080322,0.8023945093154907,0.9675273895263672,0.8604434728622437,208.675943898
