,group,test_acc,test_sensitivity/mean,test_ppv/mean,test_specificity/mean,test_f1/mean,_runtime
63,best_code15_xlstm_ft,0.9152566194534302,0.5561631321907043,0.5038934946060181,0.9448067545890808,0.5060033202171326,1051.713272203
56,best_code15_xlstm_ft,0.9118564128875732,0.5099306106567383,0.4702363610267639,0.93926203250885,0.4687407910823822,1043.113347246
61,best_code15_xlstm_ft,0.906243085861206,0.5112355947494507,0.4550950527191162,0.939705491065979,0.463862270116806,1046.250252688
62,best_code15_xlstm_ft,0.922922134399414,0.5101712942123413,0.4811776578426361,0.9392015337944032,0.4780048727989197,1045.684346914
64,best_code15_xlstm_ft,0.9247530102729796,0.5290094614028931,0.4917832016944885,0.9378153681755066,0.48982325196266174,1041.996477225
55,best_code15_xlstm_lp,0.9187813401222228,0.4941044747829437,0.4601173996925354,0.92876398563385,0.447768121957779,377.888074101
57,best_code15_xlstm_lp,0.9206528067588806,0.5037469267845154,0.4663278460502625,0.930158793926239,0.45836955308914185,377.326366224
58,best_code15_xlstm_lp,0.8978729248046875,0.49753689765930176,0.4240555763244629,0.9311155080795288,0.4360884130001068,391.449263077
59,best_code15_xlstm_lp,0.910872757434845,0.4919297099113464,0.4378787875175476,0.92821204662323,0.43975526094436646,382.748301213
60,best_code15_xlstm_lp,0.9163665175437928,0.5025953650474548,0.452693223953247,0.932315707206726,0.4585438668727875,382.427472553
77,best_dinoecg_xlstm_ft,0.9599018096923828,0.5468162298202515,0.6697577238082886,0.9457019567489624,0.5892166495323181,673.678608637
78,best_dinoecg_xlstm_ft,0.9594189524650574,0.5477226972579956,0.6672377586364746,0.9471606016159058,0.5889298319816589,639.234409136
79,best_dinoecg_xlstm_ft,0.9602841138839722,0.5418719053268433,0.6757341623306274,0.9459413290023804,0.5858167409896851,680.83313353
75,best_dinoecg_xlstm_ft,0.9612900614738464,0.5456818342208862,0.6773340106010437,0.9472572207450868,0.5898488759994507,674.009407861
76,best_dinoecg_xlstm_ft,0.960143268108368,0.5407785773277283,0.6774908304214478,0.9446107149124146,0.585279107093811,675.993813622
72,best_dinoecg_xlstm_lp,0.9573179483413696,0.5143107175827026,0.6442269086837769,0.9438319206237792,0.5533647537231445,338.040692152
74,best_dinoecg_xlstm_lp,0.9578009247779846,0.5340243577957153,0.616282045841217,0.9443656802177428,0.5641863346099854,340.549795975
70,best_dinoecg_xlstm_lp,0.958324134349823,0.5357462167739868,0.6046227216720581,0.9462658762931824,0.5607680678367615,343.947457077
71,best_dinoecg_xlstm_lp,0.9574990272521972,0.5059515237808228,0.6411393880844116,0.942245364189148,0.5454699397087097,337.76605744
73,best_dinoecg_xlstm_lp,0.960356593132019,0.5393717288970947,0.6442543268203735,0.947586715221405,0.5766521692276001,338.224656622
83,best_ecgcpc_ft,0.914999783039093,0.5708346366882324,0.47489795088768005,0.9306669235229492,0.46515536308288574,687.687489887
84,best_ecgcpc_ft,0.9016782641410828,0.5758563876152039,0.4786999225616455,0.9279083013534546,0.4579184949398041,762.622375932
82,best_ecgcpc_ft,0.90028977394104,0.5809513926506042,0.4665103852748871,0.9301190376281738,0.464459091424942,761.734226006
81,best_ecgcpc_ft,0.9221837520599364,0.556394100189209,0.46904319524765015,0.9325714111328124,0.47289007902145386,763.824087371
80,best_ecgcpc_ft,0.9061456322669984,0.587794303894043,0.4665509760379791,0.933275580406189,0.4706246852874756,767.005827991
69,best_ecgcpc_lp,0.9006721377372742,0.4129665791988373,0.3804841339588166,0.9099617004394532,0.3852989375591278,285.346707908
68,best_ecgcpc_lp,0.9078359603881836,0.40883007645606995,0.39557892084121704,0.903436839580536,0.3902292549610138,284.163370669
67,best_ecgcpc_lp,0.8731839060783386,0.4562758505344391,0.347392737865448,0.8997799754142761,0.3607601225376129,228.106145933
66,best_ecgcpc_lp,0.8970901966094971,0.4160640835762024,0.3740975260734558,0.9086820483207704,0.3796837627887726,282.273819809
65,best_ecgcpc_lp,0.8977341055870056,0.4171737730503082,0.38150399923324585,0.9066778421401978,0.3867051005363464,284.962284196
52,best_ecgfm_ft,0.8605567812919617,0.2115674763917923,0.20672157406806943,0.80982506275177,0.2082597464323044,341.656508943
3,best_ecgfm_ft,0.8570164442062378,0.2119811773300171,0.20575392246246335,0.8108809590339661,0.20835860073566437,328.487124067
4,best_ecgfm_ft,0.8683416247367859,0.2096315324306488,0.20819011330604553,0.8076049089431763,0.2065460234880447,316.196882968
5,best_ecgfm_ft,0.8570767641067505,0.2122250348329544,0.20617225766181943,0.8103434443473816,0.20866505801677704,330.917678294
6,best_ecgfm_ft,0.8743965029716492,0.2078251838684082,0.2096210271120071,0.8060183525085449,0.20432403683662417,326.775516008
53,best_ecgfm_lp,0.8576802611351013,0.2127060443162918,0.2069704830646515,0.8102458715438843,0.20925550162792209,335.780272093
