,group,test_acc,test_f1,test_auroc,_runtime
56,best_code15_xlstm_ft,0.7362207174301147,0.7044997215270996,0.8679748773574829,4034.354905189
61,best_code15_xlstm_ft,0.8113186359405518,0.7691009640693665,0.8914121389389038,4243.655726918
62,best_code15_xlstm_ft,0.7713004350662231,0.7233558893203735,0.8657090067863464,2963.854006684
63,best_code15_xlstm_ft,0.7607424855232239,0.7230120897293091,0.8788312673568726,3289.71208724
64,best_code15_xlstm_ft,0.774706244468689,0.7370598316192627,0.8732082843780518,3120.221600529
57,best_code15_xlstm_lp,0.5866492390632629,0.5600861310958862,0.7212474346160889,2247.180254394
58,best_code15_xlstm_lp,0.5648521184921265,0.5427526235580444,0.7090491056442261,2182.386998361
59,best_code15_xlstm_lp,0.4913435876369476,0.4853701591491699,0.6875172853469849,2166.508519331
60,best_code15_xlstm_lp,0.5531021356582642,0.5418238043785095,0.7377538084983826,2248.585477903
55,best_code15_xlstm_lp,0.54305499792099,0.5298633575439453,0.7175918817520142,1879.127308091
84,best_dinoecg_xlstm_ft,0.8207980990409851,0.7824307084083557,0.9145811796188354,2844.212147306
83,best_dinoecg_xlstm_ft,0.8336266279220581,0.7852721214294434,0.9098901748657228,1531.593610105
82,best_dinoecg_xlstm_ft,0.7196457982063293,0.6805651187896729,0.8360254764556885,1192.439958252
81,best_dinoecg_xlstm_ft,0.6946131587028503,0.6710717678070068,0.8482133150100708,1352.966440232
80,best_dinoecg_xlstm_ft,0.764261782169342,0.7284711599349976,0.8905779123306274,1757.729062778
75,best_dinoecg_xlstm_lp,0.6360901594161987,0.6093392372131348,0.7691271305084229,1716.6150484
79,best_dinoecg_xlstm_lp,0.6737809777259827,0.6236082315444946,0.7498929500579834,2116.944156826
78,best_dinoecg_xlstm_lp,0.7375830411911011,0.6605578064918518,0.7762985229492188,2095.197720263
77,best_dinoecg_xlstm_lp,0.7832775115966797,0.6316463351249695,0.7675038576126099,1754.324302678
76,best_dinoecg_xlstm_lp,0.5978884100914001,0.581881046295166,0.765662670135498,2067.472161769
71,best_ecgcpc_ft,0.7572231292724609,0.7020671367645264,0.8382842540740967,8343.556910063
74,best_ecgcpc_ft,0.7930975556373596,0.7285237312316895,0.8510984182357788,6401.148335922
73,best_ecgcpc_ft,0.692626416683197,0.6610120534896851,0.8209264278411865,5888.74507478
70,best_ecgcpc_ft,0.7685757875442505,0.7095083594322205,0.8431911468505859,5879.567891832
72,best_ecgcpc_ft,0.7017085552215576,0.6596953868865967,0.8071215152740479,6869.912995938
65,best_ecgcpc_lp,0.7149344086647034,0.5404682755470276,0.6546266078948975,4294.929900202
