,group,test_acc,test_f1,test_auroc,test_auprc,_runtime
100,best_code15_xlstm_ft,0.8821656107902527,0.7199844121932983,0.9206005930900574,0.8025934100151062,372.015153098
101,best_code15_xlstm_ft,0.8797088265419006,0.7202181220054626,0.920737087726593,0.8020721673965454,400.135769184
102,best_code15_xlstm_ft,0.8818016648292542,0.7117612361907959,0.9203181266784668,0.8015888333320618,301.237825397
103,best_code15_xlstm_ft,0.8795268535614014,0.7174104452133179,0.9209768176078796,0.8026494979858398,390.813252834
104,best_code15_xlstm_ft,0.878434956073761,0.7147198915481567,0.9211419224739076,0.8033998608589172,384.222518807
96,best_code15_xlstm_lp,0.8745222687721252,0.6862192153930664,0.9093385934829712,0.7815354466438293,249.630016556
97,best_code15_xlstm_lp,0.8750682473182678,0.6900564432144165,0.9090694785118104,0.7815696001052856,242.996684211
98,best_code15_xlstm_lp,0.874431312084198,0.685484766960144,0.9096196293830872,0.7828682661056519,259.633746182
99,best_code15_xlstm_lp,0.874340295791626,0.6854669451713562,0.9088732004165648,0.7812716364860535,249.315251155
95,best_code15_xlstm_lp,0.8742493391036987,0.6835889220237732,0.9093735814094543,0.7820165753364563,245.97793733
124,best_dinoecg_xlstm_ft,0.8830755352973938,0.7260720729827881,0.9241525530815125,0.8076642155647278,396.705567156
123,best_dinoecg_xlstm_ft,0.8829845190048218,0.7283126711845398,0.9243828058242798,0.8087121248245239,376.875543957
122,best_dinoecg_xlstm_ft,0.8816196322441101,0.7222793102264404,0.922623574733734,0.8062666058540344,262.573704632
121,best_dinoecg_xlstm_ft,0.8825295567512512,0.7044365406036377,0.9236934781074524,0.8065527081489563,274.919976379
120,best_dinoecg_xlstm_ft,0.8828025460243225,0.7207939624786377,0.9241867065429688,0.8088049292564392,362.355541127
115,best_dinoecg_xlstm_lp,0.8735213875770569,0.679286777973175,0.9088156819343568,0.7739669680595398,259.966617225
119,best_dinoecg_xlstm_lp,0.8736124038696289,0.6827176809310913,0.9094343185424804,0.7750930786132812,239.176560768
118,best_dinoecg_xlstm_lp,0.8735213875770569,0.6829850673675537,0.9092303514480592,0.775473415851593,246.718793731
117,best_dinoecg_xlstm_lp,0.8742493391036987,0.6809027791023254,0.9091362357139589,0.7754050493240356,249.814901117
116,best_dinoecg_xlstm_lp,0.8734303712844849,0.6805915832519531,0.9091275334358216,0.7747706174850464,246.486369418
111,best_ecgcpc_ft,0.8886260390281677,0.7435331344604492,0.9299735426902772,0.8256357312202454,1141.441257044
114,best_ecgcpc_ft,0.8874431252479553,0.7269558906555176,0.9276749491691588,0.8234273791313171,1077.777877286
108,best_ecgcpc_ft,0.8874431252479553,0.7454038858413696,0.930252730846405,0.827978253364563,1491.925118129
113,best_ecgcpc_ft,0.8918107151985168,0.7462773323059082,0.92768394947052,0.8221362233161926,1075.168190306
112,best_ecgcpc_ft,0.8901728987693787,0.7438902854919434,0.9282361268997192,0.8268811106681824,1144.698584766
105,best_ecgcpc_lp,0.8630573153495789,0.6551040410995483,0.8898931741714478,0.7452614307403564,743.902623799
106,best_ecgcpc_lp,0.862420380115509,0.6543169021606445,0.8901018500328064,0.7451775670051575,747.435733882
107,best_ecgcpc_lp,0.8606915473937988,0.6478021144866943,0.8886006474494934,0.741233229637146,698.705932646
110,best_ecgcpc_lp,0.8621473908424377,0.65638267993927,0.8894302248954773,0.7437604069709778,736.2275356
109,best_ecgcpc_lp,0.8628753423690796,0.654097855091095,0.8899346590042114,0.7450075745582581,737.095136815
0,best_ecgfm_ft,0.891264796257019,0.7351101636886597,0.9302915930747986,0.8227446675300598,798.589180891
19,best_ecgfm_ft,0.8925386667251587,0.7358452081680298,0.9310694932937622,0.823243260383606,813.988158542
20,best_ecgfm_ft,0.8914467692375183,0.7339895963668823,0.9300177693367004,0.8209834098815918,793.640337385
18,best_ecgfm_ft,0.8903548717498779,0.7320539951324463,0.9303185343742372,0.8213821649551392,809.223137772
17,best_ecgfm_ft,0.8913557529449463,0.7330806255340576,0.9305377006530762,0.8219327926635742,811.138811534
24,best_ecgfm_lp,0.8840764164924622,0.705884575843811,0.9169330596923828,0.7981273531913757,377.39076518
23,best_ecgfm_lp,0.8828935623168945,0.7007513046264648,0.9171397089958192,0.7983248829841614,379.732330214
22,best_ecgfm_lp,0.883166491985321,0.703288733959198,0.9176705479621888,0.799022376537323,377.173696367
21,best_ecgfm_lp,0.8837124705314636,0.7028247714042664,0.9176425933837892,0.7990016341209412,384.486977815
1,best_ecgfm_lp,0.8827115297317505,0.6995836496353149,0.9172874689102172,0.7980295419692993,370.733925764
10,best_jepa_ft,0.8850773572921753,0.7375409603118896,0.9235343933105468,0.8090736269950867,5668.496897216
43,best_jepa_ft,0.8832575082778931,0.7322895526885986,0.9233869910240172,0.8088569641113281,5639.738233175
41,best_jepa_ft,0.8828025460243225,0.7297788262367249,0.9230377078056335,0.8087120056152344,5611.310085829
44,best_jepa_ft,0.8838034868240356,0.7320179343223572,0.9235329031944276,0.809318482875824,5654.097484876
42,best_jepa_ft,0.8837124705314636,0.7316255569458008,0.9231855273246764,0.8088065385818481,5678.557351448
38,best_jepa_lp,0.8633303046226501,0.7106248140335083,0.9023165702819824,0.7686747908592224,2096.125554008
40,best_jepa_lp,0.8635122776031494,0.7107300758361816,0.9016173481941224,0.768258810043335,2095.258772365
6,best_jepa_lp,0.8657870888710022,0.7145001888275146,0.9023458361625672,0.7689567804336548,2092.337268839
37,best_jepa_lp,0.8636942505836487,0.7095928192138672,0.9027579426765442,0.768875777721405,2083.958116074
39,best_jepa_lp,0.8633303046226501,0.7122375965118408,0.9020916819572448,0.7687576413154602,2089.7138639
59,best_stmem_ft,0.8913557529449463,0.7405405044555664,0.931147038936615,0.8253726959228516,3883.029181385
