,group,test_acc,test_f1,test_auc,_runtime
63,best_code15_xlstm_ft,0.8147611021995544,0.7510324716567993,0.8826403617858887,7756.806796462
56,best_code15_xlstm_ft,0.8117462992668152,0.7314531207084656,0.8826007843017578,7763.076464847
61,best_code15_xlstm_ft,0.7821776270866394,0.6839935779571533,0.8672016859054565,7733.219331627
62,best_code15_xlstm_ft,0.7882652878761292,0.6816596984863281,0.8725121021270752,7762.959138058
64,best_code15_xlstm_ft,0.7904684543609619,0.712031900882721,0.8689862489700317,7785.450776842
55,best_code15_xlstm_lp,0.7533627152442932,0.6349751353263855,0.7882642149925232,3610.801802658
57,best_code15_xlstm_lp,0.6921961903572083,0.6370410919189453,0.7742495536804199,3631.090472991
58,best_code15_xlstm_lp,0.7662337422370911,0.6599763631820679,0.8477438688278198,3622.801561135
59,best_code15_xlstm_lp,0.7110389471054077,0.5930764079093933,0.7623651027679443,3609.619526932
60,best_code15_xlstm_lp,0.7473330497741699,0.6799823641777039,0.8087345361709595,3612.62318914
71,best_dinoecg_xlstm_ft,0.8060064911842346,0.730985701084137,0.8570290803909302,5487.306815694
72,best_dinoecg_xlstm_ft,0.7879754304885864,0.7301306128501892,0.8671137094497681,5519.424709927
70,best_dinoecg_xlstm_ft,0.7975417375564575,0.727059543132782,0.8714425563812256,5575.71447849
74,best_dinoecg_xlstm_ft,0.7696544528007507,0.7029976844787598,0.8644976615905762,5489.678275794
73,best_dinoecg_xlstm_ft,0.690514862537384,0.4351322650909424,0.7832617163658142,5467.420052667
65,best_dinoecg_xlstm_lp,0.7653641104698181,0.6509702205657959,0.8082796335220337,2082.101374112
66,best_dinoecg_xlstm_lp,0.789482831954956,0.7029370665550232,0.861107587814331,2062.085301956
67,best_dinoecg_xlstm_lp,0.7949907183647156,0.7268654704093933,0.8770337700843811,2043.447118059
68,best_dinoecg_xlstm_lp,0.8227620720863342,0.7381135821342468,0.8992118835449219,2043.047036942
69,best_dinoecg_xlstm_lp,0.7865259647369385,0.7179840803146362,0.8615182042121887,2030.39982715
84,best_ecgcpc_ft,0.8968576192855835,0.8616748452186584,0.9579458236694336,81581.768860292
83,best_ecgcpc_ft,0.8540700078010559,0.7866406440734863,0.9372906684875488,82066.746477752
82,best_ecgcpc_ft,0.8349373936653137,0.7564793229103088,0.8961904048919678,81184.566084735
81,best_ecgcpc_ft,0.8762755393981934,0.8451828360557556,0.9514054656028748,81810.074276466
80,best_ecgcpc_ft,0.8554614782333374,0.7885316610336304,0.9322794675827026,81901.039470104
78,best_ecgcpc_lp,0.5586734414100647,0.037917088717222214,0.6895040273666382,15371.435441662
77,best_ecgcpc_lp,0.7143436670303345,0.4757952988147736,0.8319849967956543,15374.833729618
79,best_ecgcpc_lp,0.6030264496803284,0.3996492624282837,0.6623291969299316,15368.112110898
75,best_ecgcpc_lp,0.6782235503196716,0.5494398474693298,0.7284078598022461,15370.383864635
76,best_ecgcpc_lp,0.7110389471054077,0.619948148727417,0.7599861025810242,15402.857316119
12,best_ecgfm_ft,0.6830357313156128,0.6071710586547852,0.7093273401260376,25452.467722342
13,best_ecgfm_ft,0.6789772510528564,0.6208832859992981,0.7068984508514404,25108.545698524
14,best_ecgfm_ft,0.7774814367294312,0.6907332539558411,0.8638920783996582,24895.221717126
1,best_ecgfm_ft,0.7740027904510498,0.6741892099380493,0.8387753963470459,25129.30133908
15,best_ecgfm_ft,0.7157931327819824,0.6396648287773132,0.7730737924575806,25173.36853836
43,best_ecgfm_lp,0.8231099247932434,0.7649279832839966,0.888617992401123,7048.968288148
45,best_ecgfm_lp,0.6778756976127625,0.589296281337738,0.7743334770202637,6968.694540037
44,best_ecgfm_lp,0.736433207988739,0.6855285167694092,0.7879260182380676,6951.261655452
42,best_ecgfm_lp,0.6801367998123169,0.6461873650550842,0.7015866041183472,6906.022413329
27,best_ecgfm_lp,0.7179962992668152,0.6428781151771545,0.731903076171875,6477.128082427
3,best_jepa_ft,0.6393204927444458,0.5110430121421814,0.6977356672286987,47763.760848748
19,best_jepa_ft,0.6232606768608093,0.41066569089889526,0.6528197526931763,47542.049186017
18,best_jepa_ft,0.6357258558273315,0.49252888560295105,0.6711219549179077,47165.103472325
17,best_jepa_ft,0.6674396991729736,0.36266666650772095,0.7141207456588745,47160.477524936
